User ID,App Type,App ID,CloudLetAvail,PubliCloudAvail,AverageEnergy (J),AvailNetwok,AvailBandwidth (MB/S),AverageDataSize (KB)2,ETMobile (s),WaitingMobile (s),ProcCost ($),DataTransCost ($),TotalCost ($),ProcEnergy (J),DataTransEnergy (J),TotalEnergy (J),OptimizCost
0,1,0,1,1,1456.470071,2,400,451258.7171,0.10398523,17.18048677,0.127791996,0,0.127791996,0.079668633,0,0.079668633,0.010181014
0,1,1,1,1,1767.421742,3,800,608412.3206,7.075262762,15.84052165,0.13653592,0,0.13653592,5.420736344,0,5.420736344,0.740125227
0,1,2,1,1,1480.493244,3,800,338570.4334,5.035269077,0,0.065562596,0,0.065562596,3.857788327,0,3.857788327,0.252926617
0,1,3,1,1,1127.714478,3,800,691419.8483,1.057095862,18.78531635,0.212934014,0,0.212934014,0.809897548,0,0.809897548,0.172454736
0,1,4,1,1,1606.761503,1,200,522117.2843,5.795343177,12.93653803,0.122584921,0,0.122584921,4.440121653,0,4.440121653,0.544291963
0,1,5,1,1,1367.354218,2,400,440533.0122,8.19061619,4.224483131,0.102438399,0,0.102438399,6.275268122,0,6.275268122,0.642828418
0,1,6,1,1,466.3774804,1,200,541818.3999,0.201301386,22.14523333,0.145891942,0,0.145891942,0.154227734,0,0.154227734,0.022500584
0,1,7,1,1,1525.310942,3,800,659958.9515,5.887941742,22.00729654,0.14135338,0,0.14135338,4.511066354,0,4.511066354,0.637654476
0,1,8,1,1,831.2647201,2,400,372815.3217,5.086849969,6.98151305,0.089392093,0,0.089392093,3.8973072,0,3.8973072,0.348388448
0,1,9,1,1,1035.070973,1,200,505371.4302,125.9878825,0,0.059013939,0.001094687,0.060108626,96.52603962,0.758913785,97.28495341,5.847664904
0,1,0,1,1,1373.675941,2,400,666363.5482,8.228299081,8.697658913,0.176240868,0,0.176240868,6.304138995,0,6.304138995,1.11104693
0,1,1,1,1,1276.536411,1,200,666363.5482,8.228299081,14.90071607,0.154440783,0,0.154440783,6.304138995,0,6.304138995,0.97361616
0,1,2,1,1,477.5006435,2,400,666363.5482,8.228299081,15.69811798,0.151030436,0,0.151030436,6.304138995,0,6.304138995,0.952116862
0,1,3,1,1,486.7210432,3,800,666363.5482,145.757423,0,0.063312429,0.008140123,0.071452553,111.6725395,5.643304674,117.3158441,8.382516519
